X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
,2024-03-06 18:46:07,2024-03-04,NVDA,Stevens Mark A,Dir,S - Sale,$853.54,-12000,"4,124,631",0%,-10242502,,,,
,2024-03-06 18:01:02,2024-03-05,NVDA,Coxe Tench,Dir,S - Sale,$850.10,-200000,"3,787,612",-5%,-170020366,,,,
M,2024-02-27 17:08:35,2024-02-23,NVDA,Stevens Mark A,Dir,S - Sale,$798.63,-15000,"4,136,631",0%,-11979400,,,,
,2024-02-27 17:06:39,2024-02-23,NVDA,Perry Mark L,Dir,S - Sale,$796.45,-15000,"138,612",-10%,-11946692,,,,
M,2024-02-27 17:04:29,2023-12-13,NVDA,McCaffery Michael G,Dir,S - Sale,$636.18,-8250,"13,566",-38%,-5248448,,,,
,2024-02-27 17:02:34,2024-02-23,NVDA,Jones Harvey C,Dir,S - Sale,$815.87,-65000,"749,980",-8%,-53031712,,,,
,2024-01-16 17:33:16,2024-01-12,NVDA,Stevens Mark A,Dir,S - Sale,$546.95,-36000,"4,151,631",-1%,-19690344,,,,
M,2024-01-12 17:42:33,2024-01-10,NVDA,Stevens Mark A,Dir,S - Sale,$545.30,-54148,"4,187,631",-1%,-29527009,,,,
,2024-01-09 17:54:47,2024-01-08,NVDA,Shoquist Debora,"EVP, Operations",S - Sale,$500.00,-5676,"238,005",-2%,-2838000,,,,
,2024-01-09 17:53:19,2024-01-05,NVDA,Robertson Donald F Jr,Principal Accounting Officer,S - Sale,$484.62,-450,"50,961",-1%,-218079,,,,
,2023-12-20 17:20:38,2023-12-18,NVDA,Shoquist Debora,"EVP, Operations",S - Sale,$500.04,-20000,"243,681",-8%,-10000860,,,,
,2023-12-19 17:57:31,2023-12-15,NVDA,Hudson Dawn E,Dir,S - Sale,$492.53,-1000,"70,500",-1%,-492525,,,,
,2023-12-19 17:54:57,2023-12-15,NVDA,Stevens Mark A,Dir,S - Sale,$490.20,-10200,"4,241,779",0%,-5000042,,,,
,2023-12-15 19:24:47,2023-12-13,NVDA,Stevens Mark A,Dir,S - Sale,$481.60,-10400,"4,251,979",0%,-5008640,,,,
,2023-12-01 20:26:23,2023-11-29,NVDA,Shoquist Debora,"EVP, Operations",S - Sale,$482.42,-15824,"271,624",-6%,-7633761,,,,
AM,2023-12-01 20:23:38,2023-11-27,NVDA,Shoquist Debora,"EVP, Operations",S - Sale,$479.98,-40000,"287,448",-12%,-19199010,,,,
,2023-11-30 17:35:29,2023-11-28,NVDA,Hudson Dawn E,Dir,S - Sale,$477.77,-11000,"71,500",-13%,-5255469,,,,
,2023-11-28 19:39:16,2023-11-24,NVDA,Dabiri John,Dir,S - Sale,$484.99,-218,"2,183",-9%,-105728,,,,
M,2023-11-28 19:38:10,2023-11-24,NVDA,Stevens Mark A,Dir,S - Sale,$483.14,-10280,"4,262,379",0%,-4966714,,,,
M,2023-11-28 19:36:58,2023-11-27,NVDA,Shoquist Debora,"EVP, Operations",S - Sale,$479.98,-40000,"287,448",-12%,-19199010,,,,
D,2023-09-18 17:00:42,2023-09-14,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$455.75,-29684,"86,758,465",0%,-13528345,,,,
D,2023-09-13 20:57:52,2023-09-13,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$454.01,-29688,"86,639,715",0%,-13478507,,,,
D,2023-09-13 20:55:52,2023-09-12,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$451.97,-29688,"7,918,875",0%,-13417928,,,,
D,2023-09-11 20:01:45,2023-09-11,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$449.00,-29688,"86,639,715",0%,-13329754,,,,
D,2023-09-11 19:59:38,2023-09-07,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$458.30,-29688,"7,918,875",0%,-13605939,,,,
D,2023-09-06 19:55:42,2023-09-06,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$471.55,-29688,"86,520,965",0%,-13999287,,,,
DM,2023-09-06 19:54:41,2023-09-01,NVDA,Huang Jen Hsun,"Pres, CEO",S - Sale+OE,$485.53,-59376,"7,800,125",-1%,-28828766,,,,
M,2023-08-30 17:13:28,2023-08-28,NVDA,Stevens Mark A,Dir,S - Sale,$480.91,-52175,"4,272,659",-1%,-25091708,,,,
,2023-08-30 17:08:53,2023-08-28,NVDA,Kress Colette,"EVP, CFO",S - Sale,$460.74,-4980,"576,996",-1%,-2294476,,,,
,2023-06-27 17:48:16,2023-06-26,NVDA,Dabiri John,Dir,S - Sale,$424.53,-283,"2,401",-11%,-120142,,,,
M,2023-06-21 17:01:22,2023-06-16,NVDA,Stevens Mark A,Dir,S - Sale,$431.03,-118602,"4,324,184",-3%,-51120609,,,,
,2023-06-16 17:00:26,2023-06-14,NVDA,Coxe Tench,Dir,S - Sale,$422.15,-50000,"3,986,962",-1%,-21107720,,,,
,2023-06-15 16:59:01,2023-06-14,NVDA,Seawell A Brooke,Dir,S - Sale,$424.69,-860,"501,438",0%,-365233,,,,
,2023-06-14 16:54:11,2023-06-13,NVDA,Jones Harvey C,Dir,S - Sale,$403.17,-119795,"814,330",-13%,-48297293,,,,
,2023-06-09 16:12:47,2023-06-07,NVDA,Hudson Dawn E,Dir,S - Sale,$384.03,-3500,"81,850",-4%,-1344108,,,,
